epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.14527,0.71884,0.51026,1,1.54329,0.07525,0.00025,0.00025
2,15.6526,0.48932,0.62463,1,0.90218,0.0495097,0.000509654,0.000509654
3,24.1006,0.46302,0.63343,1,0.99951,0.0237679,0.000767912,0.000767912
4,32.1711,0.40846,0.61877,1,1.1403,0.000993906,0.000993906,0.000993906
5,40.328,0.42849,0.64956,1,0.95964,0.000989183,0.000989183,0.000989183
6,48.8011,0.39755,0.64663,1,0.91781,0.000983133,0.000983133,0.000983133
7,56.8448,0.37222,0.70088,1,0.81657,0.000975773,0.000975773,0.000975773
8,65.2102,0.3158,0.69501,1,0.7238,0.000967122,0.000967122,0.000967122
9,73.4268,0.31563,0.66129,1,0.74512,0.000957205,0.000957205,0.000957205
10,81.7399,0.32068,0.71114,1,0.78174,0.000946048,0.000946048,0.000946048
11,89.9586,0.30689,0.67742,1,0.86182,0.000933683,0.000933683,0.000933683
12,98.1715,0.30667,0.69208,1,0.82161,0.000920142,0.000920142,0.000920142
13,106.575,0.29448,0.71554,1,0.74447,0.000905463,0.000905463,0.000905463
14,114.806,0.30095,0.69795,1,0.68636,0.000889687,0.000889687,0.000889687
15,123.253,0.26101,0.69062,1,0.93978,0.000872857,0.000872857,0.000872857
16,131.484,0.27687,0.72287,1,0.7054,0.000855018,0.000855018,0.000855018
17,139.63,0.27742,0.72581,1,0.77686,0.00083622,0.00083622,0.00083622
18,148.143,0.25637,0.67449,1,0.69596,0.000816514,0.000816514,0.000816514
19,156.247,0.24973,0.66276,1,0.73389,0.000795954,0.000795954,0.000795954
20,164.619,0.24993,0.65249,1,0.80599,0.000774596,0.000774596,0.000774596
21,172.806,0.26776,0.72727,1,0.77897,0.0007525,0.0007525,0.0007525
22,181.118,0.26182,0.70381,1,0.66585,0.000729725,0.000729725,0.000729725
23,189.275,0.24901,0.71994,1,0.75439,0.000706335,0.000706335,0.000706335
24,197.647,0.24094,0.73167,1,0.59863,0.000682392,0.000682392,0.000682392
25,205.928,0.23938,0.68915,1,0.73519,0.000657963,0.000657963,0.000657963
26,214.144,0.24801,0.71554,1,0.67334,0.000633115,0.000633115,0.000633115
27,222.478,0.22615,0.68768,1,0.7513,0.000607916,0.000607916,0.000607916
28,230.834,0.23247,0.71408,1,0.76969,0.000582435,0.000582435,0.000582435
29,239.065,0.23137,0.71994,1,0.72428,0.000556742,0.000556742,0.000556742
30,247.276,0.22018,0.74194,1,0.61702,0.000530906,0.000530906,0.000530906
31,255.617,0.21492,0.72581,1,0.75684,0.000505,0.000505,0.000505
32,263.974,0.21401,0.70381,1,0.7137,0.000479094,0.000479094,0.000479094
33,272.209,0.20165,0.69208,1,0.96891,0.000453258,0.000453258,0.000453258
34,280.515,0.20162,0.70821,1,0.89665,0.000427565,0.000427565,0.000427565
35,288.967,0.20672,0.70674,1,0.76709,0.000402084,0.000402084,0.000402084
36,297.094,0.19477,0.70381,1,0.69417,0.000376885,0.000376885,0.000376885
37,305.726,0.19286,0.73021,1,0.67171,0.000352037,0.000352037,0.000352037
38,313.738,0.20294,0.71701,1,0.66064,0.000327608,0.000327608,0.000327608
39,322.356,0.18588,0.73021,1,0.66292,0.000303665,0.000303665,0.000303665
40,330.356,0.18219,0.70381,1,0.8335,0.000280275,0.000280275,0.000280275
41,338.968,0.18081,0.72434,1,0.76888,0.0002575,0.0002575,0.0002575
42,347.134,0.18085,0.7434,1,0.61198,0.000235404,0.000235404,0.000235404
43,355.915,0.17471,0.75513,1,0.63314,0.000214046,0.000214046,0.000214046
44,363.804,0.1752,0.74633,1,0.63118,0.000193486,0.000193486,0.000193486
45,372.658,0.17085,0.7566,1,0.67887,0.00017378,0.00017378,0.00017378
46,380.577,0.17185,0.739,1,0.70622,0.000154982,0.000154982,0.000154982
47,389.239,0.17177,0.72581,1,0.73665,0.000137143,0.000137143,0.000137143
48,397.25,0.16122,0.72874,1,0.68311,0.000120313,0.000120313,0.000120313
49,406.091,0.15892,0.71554,1,0.75781,0.000104537,0.000104537,0.000104537
50,414.071,0.16345,0.72434,1,0.73356,8.98581e-05,8.98581e-05,8.98581e-05
51,440.423,0.16488,0.73314,1,0.72852,7.63174e-05,7.63174e-05,7.63174e-05
52,448.316,0.1606,0.73167,1,0.7238,6.39518e-05,6.39518e-05,6.39518e-05
53,457.061,0.15855,0.71994,1,0.75635,5.2795e-05,5.2795e-05,5.2795e-05
54,464.857,0.14933,0.72141,1,0.76025,4.28777e-05,4.28777e-05,4.28777e-05
55,473.693,0.15351,0.72581,1,0.72396,3.4227e-05,3.4227e-05,3.4227e-05
56,481.533,0.1714,0.72874,1,0.70703,2.68667e-05,2.68667e-05,2.68667e-05
57,490.263,0.16291,0.72287,1,0.73047,2.08169e-05,2.08169e-05,2.08169e-05
58,498.17,0.16039,0.72287,1,0.72298,1.60943e-05,1.60943e-05,1.60943e-05
59,506.813,0.15934,0.72434,1,0.7124,1.27117e-05,1.27117e-05,1.27117e-05
60,514.833,0.15301,0.72141,1,0.74691,1.06784e-05,1.06784e-05,1.06784e-05
